DATA_REQUEST_ID	PROJECT_TITLE	IS_RESEARCH_STUDY	RESEARCH_TYPE_CD	IS_IRB_APPROVED	IRB_APPROVAL_NO	IRB_APPROVAL_TYPE_CD	IRB_APPROVAL_DOC	IRB_APPROVAL_DATE	IACUC_APPROVAL_DOC	IACUC_APPROVAL_NO	IACUC_APPROVAL_DATE	DATA_REQUEST_REASON	USER_ID	REQUEST_STATUS_CD	REQUEST_DATE	REQUESTER_NAME	REQUESTER_ADDRESS	REQUESTER_PHONE	REQUESTER_EMAIL
44	Early Dementia in College Grads	N	C	N		N		null			null		Robert	P	null	Hillari Allen	UCSF	null	
45	Dr. Yaso	Y	O	Y		E	SparQL.txt	null			null	This is my abstract.	Robert	P	null	Rob	1855 Folsom	3834343	rob.wynden@ucsf.edu
46	Demo1	Y	C	Y		F		null			null		Robert	P	null			null	
47	Demo1	Y	C	Y		F		null			null		Robert	P	null			null	
48	chandra	Y	C	N	132	N		null		1213	null		Robert	P	null	chandra		null	
49	tes1	N	O	N		N		null			null		Robert	P	null			null	
50	tes2	Y	O	Y		F		null			null		Robert	P	null			null	
51	Reqtest55	Y	O	Y	123	E		null		123	null	123	Robert	P	null	123	123	123	123
52	test12	Y	C	N		N		null			null		Robert	P	null			null	
53	lcp req	N	C	Y		E		null			null		Robert	P	null	chandra		null	
54	tttt	Y	C	Y		E		null			null		Robert	P	null			null	
55	testIC	Y	C	Y		X		null			null		Robert	P	null			null	
56	rrrr	N	C	N		N		null			null		Robert	P	null			null	
57	A1	N	C	N		N		null			null		Robert	P	null			null	
58	A2	N	C	N		N		null			null		Robert	P	null			null	
59	Tstreq2	N	C	N	12345123	N	importxml.pl	null		12345	null	123	Robert	P	null	1		null	
60	Tstreq3	N	O	Y	123	X	Mapper_Schema_Design_v1.2.doc	null	IDR_Schema_v1.5.gif	123	null	123	Robert	P	null	123	123	123	1
61	Test request	Y	C	Y	123	F	LIME-%20Temp.pdf	null		123	null	123	Robert	P	null	123	123	123	123
62	Testre2	Y	O	N	123	N		null			null		Robert	P	null	123	123	12	123
20	ReqTest11	N	C	Y	123	E		null		123	null	123	Robert	P	null	123	123	123	123
21	Reqtest12	Y	O	Y	123	E		null		123	null	123	Robert	P	null	123	123	123	123
22	ReqTest12	Y	C	N	123	N		null		123	null	123	Robert	P	null	123	123	123	123
23	ReqTest7	Y	O	Y	123	E	null	null	null	123	null	123	Robert	P	null	123	123	123	123
24	ReqTest25	Y	C	Y	123	E	null	null	null	123	null	123	Robert	P	null	123	123	123	123
25	ReqTest5	Y	O	Y	123	E	null	null	null	123	null	123	Robert	P	null	123	123	123	123
26	newreq5	N	C	N	123	E	null	null	null	123	null	123	Robert	P	null	123	123	123	123
27	Newreq7	Y	O	Y	123	E	null	null	null	123	null	123	Robert	P	null	123	123	123	123
28	Newreq3	N	C	Y	123	E	null	null	null	123	null	123	Robert	P	null	123	123	123	123
29	ReqTest20	Y	O	Y	123	E	Blob.txt	null	BLOB2.txt	123	null	123	Robert	P	null	123	123	123	123
30	ReqTest21	Y	C	N	123	E	Blob.txt	null	BLOB2.txt	123	null	123	Robert	P	null	123	123	123	123
31	ReqTest23	Y	C	N	123	E	Blob.txt	null	CLOB.txt	123	null	123	Robert	P	null	123	123	123	123
32	req221	N	O	N	123	N	CLOB.txt	null		123	null	123	Robert	P	null	123	123	123	123
33	req222	N	C	N	456	N	CLOB.txt	null		123	null		Robert	P	null	123	123	123	123
34	Reqtest	N	O	Y	123	E	Blob.txt	null		123	null	123	Robert	P	null	13	123	123	12
35	reqnew	N	O	N	456	N	CLOB.txt	null			null		Robert	P	null	123	123	123	123
36	Newreq2	Y	O	N	123	N	Blob.txt	null	CLOB.txt	123	null	123	Robert	P	null	123	123	123	123
37	IDR2	Y	C	Y		F		null			null		Robert	P	null			null	
38	IDR1	Y	C	Y		F		null			null		Robert	P	null			null	
39	IDR1	Y	C	Y		F		null			null		Robert	P	null			null	
40	ReqTest3	Y	A	Y		E		null			null		Robert	P	null			null	
41	Req41	N	O	N	123	N	Blob.txt	null	CLOB.txt	456	null	456	Robert	P	null	123	123	123	123
42	NewReq5	Y	O	Y	123	E	i2b2-hotel.htm	null		456	null	456	Robert	P	null	123	123	123	123
43	Newreq2	Y	C	N	123	N		null		123	null	123	Robert	P	null	123	123	123	123
